NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Epoch,M,Peri,Node,i,e,n,a,Num_opps,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
1.0,0.0,1.0,18.3,0.15,536.0,0.4,1,2459200.5,66.14745,76.62693,36.11713,17.74573,0.252043,0.81740499,1.1328642,6,2459119.57627,1.2057764,0.8473337,1.4183947,0.5304491,5.8596438,Apollo
0.0,0.0,0.0,15.6,0.15,53.0,0.21,0,2459200.5,334.36561,144.26223,300.13584,7.21407,0.2225805,0.12613454,3.9377369,6,2459403.7306,7.8139395,3.0612735,4.8142003,1.8713266,1.146758,Hilda
0.0,0.0,0.0,16.3,0.15,117.0,0.23,0,2459200.5,92.52965,246.71743,177.32766,9.14375,0.0940326,0.18619558,3.0373148,8,2458703.55109,5.2934,2.7517082,3.3229214,1.5052292,1.2329156,MBA
0.0,0.0,0.0,21.7,0.15,34.0,0.24,5,2459000.5,15.37699,9.23416,47.54852,3.62531,0.5337655,0.20750062,2.8256809,1,2458926.39424,4.7499023,1.3174299,4.3339319,1.0103143,1.2666736,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,12.94,0.15,1110.0,0.53,0,2459200.5,296.22845,314.48822,40.58496,7.13645,0.2021353,0.12377716,3.9875766,24,2459715.71283,7.9627588,3.1815466,4.7936066,1.9123247,1.1436212,Hilda
0.0,0.0,0.0,17.0,0.15,248.0,0.37,0,2459200.5,290.63944,230.4246,47.53548,0.97526,0.1926708,0.25979294,2.4324905,13,2459467.48405,3.7938201,1.9638206,2.9011604,1.1710957,1.3579329,MBA
1.0,0.0,0.0,18.7,0.15,31.0,0.39,2,2459000.5,1.85307,80.39451,93.18391,30.31706,0.6507688,0.2503347,2.4933812,3,2458993.09763,3.9371596,0.8707665,4.1159959,0.7187171,1.340465,Apollo
0.0,0.0,0.0,17.5,0.15,164.0,0.36,0,2459200.5,176.59799,246.03172,66.22968,25.04446,0.2988397,0.28469633,2.2884854,7,2458580.19693,3.4619614,1.6045951,2.9723757,1.0420559,1.4061802,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,14.0,0.15,160.0,0.26,0,2459200.5,265.443,206.42218,278.95264,2.94807,0.0646429,0.08349506,5.1843647,10,2460332.98698,11.8043837,4.8492323,5.5194971,2.5813504,1.092555,Jupiter Trojan
0.0,0.0,0.0,17.38,0.15,231.0,0.55,0,2459200.5,66.24242,325.41804,201.6023,13.66244,0.2010049,0.23898879,2.5716845,7,2458923.32196,4.1240748,2.0547633,3.0886057,1.2338904,1.3200948,MBA
0.0,0.0,0.0,20.4,0.15,36.0,0.32,6,2459200.5,319.76531,143.66485,209.00467,9.17406,0.4057531,0.29862044,2.2167822,1,2459335.23524,3.3005365,1.317316,3.1162484,0.9259105,1.4346812,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,10.4,0.15,102.0,0.17,0,2459000.5,10.12208,321.67733,158.97158,40.51977,0.7209052,0.00299629,47.6518653,7,2455622.19415,328.9424011,13.2993878,82.0043428,11.4434928,1.0030493,Distant Object
